site_name,street_address,city,state,zip_code
Dollar General #14321,1002 N University Dr,Nacogdoches,TX,75961
Dollar General #18492,702 Highway 90 W,Sealy,TX,77474
Dollar General #21043,4300 E 42nd St,Odessa,TX,79762
Dollar General #11930,1501 S Georgetown St,Round Rock,TX,78664
Dollar General #15402,8500 Texas 242,Conroe,TX,77385
Dollar General #17830,1200 N Bryan Ave,Bryan,TX,77803
Dollar General #19201,2101 S General Bruce Dr,Temple,TX,76504
Dollar General #16540,540 Backhaus Rd,New Braunfels,TX,78130
Dollar General #13890,3200 S FM 51,Weatherford,TX,76087
Dollar General #22104,110 S Loop 336 W,Conroe,TX,77304
Dollar General #16740,1001 S Orange Blossom Trl,Apopka,FL,32703
Dollar General #18920,3402 E Lake Ave,Tampa,FL,33610
Dollar General #14502,5600 Soutel Dr,Jacksonville,FL,32208
Dollar General #20310,2901 NW 27th Ave,Miami,FL,33142
Dollar General #15890,4201 34th St N,St. Petersburg,FL,33714
Dollar General #17420,1201 Memorial Blvd,Lakeland,FL,33801
Dollar General #15930,1400 Moreland Ave SE,Atlanta,GA,30316
Dollar General #18204,210 Deans Bridge Rd,Augusta,GA,30901
Dollar General #13940,3100 Victory Dr,Columbus,GA,31903
Dollar General #19402,1050 Ogeechee Rd,Savannah,GA,31415
Dollar General #17210,2400 Pio Nono Ave,Macon,GA,31206
Dollar General #16240,2802 E McDowell Rd,Phoenix,AZ,85008
Dollar General #19830,3601 S 6th Ave,Tucson,AZ,85713
Dollar General #14920,1201 E Florence Blvd,Casa Grande,AZ,85122
Dollar General #17890,2401 E Andy Devine Ave,Kingman,AZ,86401
Dollar General #18402,1400 S Central Ave,Los Angeles,CA,90021
Dollar General #16930,3102 Imperial Ave,San Diego,CA,92102
Dollar General #19204,4100 Arlington Ave,Riverside,CA,92506
Dollar General #15401,1201 Marysville Blvd,Sacramento,CA,95838
Dollar General #17320,3200 New Bern Ave,Raleigh,NC,27610
Dollar General #19405,2801 Freedom Dr,Charlotte,NC,28208
Dollar General #15820,1400 E Bessemer Ave,Greensboro,NC,27405
Dollar General #16940,1500 E Main St,Columbus,OH,43205
Dollar General #18310,3401 St Clair Ave,Cleveland,OH,44114
Dollar General #14830,2100 W 3rd St,Dayton,OH,45417
Dollar General #14421,1002 N University Dr,Nacogdoches,TX,75961
Dollar General #18592,702 Highway 90 W,Sealy,TX,77474
Dollar General #21143,4300 E 42nd St,Odessa,TX,79762
Dollar General #12030,1501 S Georgetown St,Round Rock,TX,78664
Dollar General #15502,8500 Texas 242,Conroe,TX,77385
Dollar General #17930,1200 N Bryan Ave,Bryan,TX,77803
Dollar General #19301,2101 S General Bruce Dr,Temple,TX,76504
Dollar General #16640,540 Backhaus Rd,New Braunfels,TX,78130
Dollar General #13990,3200 S FM 51,Weatherford,TX,76087
Dollar General #22204,110 S Loop 336 W,Conroe,TX,77304
Dollar General #16840,1001 S Orange Blossom Trl,Apopka,FL,32703
Dollar General #19020,3402 E Lake Ave,Tampa,FL,33610
Dollar General #14602,5600 Soutel Dr,Jacksonville,FL,32208
Dollar General #20410,2901 NW 27th Ave,Miami,FL,33142
Dollar General #15990,4201 34th St N,St. Petersburg,FL,33714
