site_name,street_address,city,state,zip_code
Walmart Supercenter #1001,100 Main St,Austin,TX,78701
Target Store #1002,115 Commerce St,Miami,FL,33101
Home Depot Hub #1003,130 Industrial Pkwy,Atlanta,GA,30301
Costco Wholesale #1004,145 Grand Ave,Charlotte,NC,28201
Dollar General Retail #1005,160 Technology Dr,Los Angeles,CA,90001
Amazon Fulfillment #1006,175 Logistics Way,Phoenix,AZ,85001
Walmart Supercenter #1007,190 Market St,Dallas,TX,75201
Target Store #1008,205 Enterprise Blvd,Orlando,FL,32801
Home Depot Hub #1009,220 Capital Ave,Augusta,GA,30901
Costco Wholesale #1010,235 Corporate Center Dr,Raleigh,NC,27601
Dollar General Retail #1011,250 Main St,San Diego,CA,92101
Amazon Fulfillment #1012,265 Commerce St,Tucson,AZ,85701
Walmart Supercenter #1013,280 Industrial Pkwy,Houston,TX,77001
Target Store #1014,295 Grand Ave,Tampa,FL,33601
Home Depot Hub #1015,310 Technology Dr,Columbus,GA,31901
