site_id,site_name,latitude,longitude,county,state
dg-tx-14321,Dollar General #14321,31.6198,-94.6512,Nacogdoches County,TX
dg-tx-18492,Dollar General #18492,29.7758,-96.1664,Austin County,TX
dg-tx-21043,Dollar General #21043,31.8841,-102.3291,Ector County,TX
dg-tx-11930,Dollar General #11930,30.5012,-97.6743,Williamson County,TX
dg-tx-15402,Dollar General #15402,30.2014,-95.4215,Montgomery County,TX
dg-tx-17830,Dollar General #17830,30.6804,-96.3741,Brazos County,TX
dg-tx-19201,Dollar General #19201,31.0842,-97.3512,Bell County,TX
dg-tx-16540,Dollar General #16540,29.7121,-98.0845,Comal County,TX
dg-tx-13890,Dollar General #13890,32.7214,-97.8012,Parker County,TX
dg-tx-22104,Dollar General #22104,30.2912,-95.4741,Montgomery County,TX
dg-fl-16740,Dollar General #16740,28.6678,-81.5034,Orange County,FL
dg-fl-18920,Dollar General #18920,27.9789,-82.4214,Hillsborough County,FL
dg-fl-14502,Dollar General #14502,30.3989,-81.7145,Duval County,FL
dg-fl-20310,Dollar General #20310,25.8032,-80.2412,Miami-Dade County,FL
dg-fl-15890,Dollar General #15890,27.8102,-82.6790,Pinellas County,FL
dg-fl-17420,Dollar General #17420,28.0514,-81.9421,Polk County,FL
dg-ga-15930,Dollar General #15930,33.7178,-84.3490,Fulton County,GA
dg-ga-18204,Dollar General #18204,33.4512,-81.9801,Richmond County,GA
dg-ga-13940,Dollar General #13940,32.4289,-84.9612,Muscogee County,GA
dg-ga-19402,Dollar General #19402,32.0621,-81.1245,Chatham County,GA
dg-ga-17210,Dollar General #17210,32.8104,-83.6641,Bibb County,GA
dg-az-16240,Dollar General #16240,33.4658,-112.0214,Maricopa County,AZ
dg-az-19830,Dollar General #19830,32.1812,-110.9678,Pima County,AZ
dg-az-14920,Dollar General #14920,32.8790,-111.7345,Pinal County,AZ
dg-az-17890,Dollar General #17890,35.2014,-114.0210,Mohave County,AZ
dg-ca-18402,Dollar General #18402,34.0289,-118.2456,Los Angeles County,CA
dg-ca-16930,Dollar General #16930,32.7045,-117.1301,San Diego County,CA
dg-ca-19204,Dollar General #19204,33.9512,-117.3890,Riverside County,CA
dg-ca-15401,Dollar General #15401,38.6301,-121.4402,Sacramento County,CA
dg-nc-17320,Dollar General #17320,35.7890,-78.5801,Wake County,NC
dg-nc-19405,Dollar General #19405,35.2401,-80.8790,Mecklenburg County,NC
dg-nc-15820,Dollar General #15820,36.0812,-79.7701,Guilford County,NC
dg-oh-16940,Dollar General #16940,39.9578,-82.9589,Franklin County,OH
dg-oh-18310,Dollar General #18310,41.5189,-81.6601,Cuyahoga County,OH
dg-oh-14830,Dollar General #14830,39.7545,-84.2201,Montgomery County,OH
dg-tx-14421,Dollar General #14421,31.6248,-94.6462,Nacogdoches County,TX
dg-tx-18592,Dollar General #18592,29.7808,-96.1614,Austin County,TX
